Index,Ovr,Gen,Div,Name,#,AG,Country,Swim,Bike,Run,Total,Competition,Year,Swim_sec,Bike_sec,Run_sec,Total_sec
430,430,406,60,Greg Magee,279,M45-49,USA,00:47:34,05:31:31,04:18:04,10:57:34,Overall Results,Ironman California 2023,2854.0,19891.0,15484,39454
431,431,407,61,Thomas Sharp,1317,M45-49,USA,00:47:26,05:40:58,04:08:18,10:57:36,Overall Results,Ironman California 2023,2846.0,20458.0,14898,39456
432,432,408,79,Joel Thompson,253,M35-39,USA,00:49:44,05:34:31,04:17:28,10:57:41,Overall Results,Ironman California 2023,2984.0,20071.0,15448,39461
433,433,25,3,Jenessa Schulte,322,F25-29,USA,00:41:59,05:55:02,04:05:27,10:57:44,Overall Results,Ironman California 2023,2519.0,21302.0,14727,39464
434,434,409,25,Michael Dickerson,258,M55-59,USA,00:41:18,05:38:31,04:09:01,10:57:47,Overall Results,Ironman California 2023,2478.0,20311.0,14941,39467
435,435,410,80,Marshall Carlyle,1330,M35-39,USA,00:45:38,05:58:09,03:58:32,10:57:59,Overall Results,Ironman California 2023,2738.0,21489.0,14312,39479
436,436,26,4,Giana Kischmischian,292,F25-29,USA,00:43:24,05:45:59,04:17:41,10:58:21,Overall Results,Ironman California 2023,2604.0,20759.0,15461,39501
437,437,411,69,Trevor Stringer,575,M40-44,USA,00:45:55,05:12:44,04:45:15,10:58:38,Overall Results,Ironman California 2023,2755.0,18764.0,17115,39518
438,438,412,75,Jacob Madwed,1510,M30-34,USA,00:59:48,05:41:33,04:00:10,10:59:14,Overall Results,Ironman California 2023,3588.0,20493.0,14410,39554
439,439,413,81,Dusan Jolovic,1149,M35-39,SRB,00:48:14,05:46:20,04:01:49,10:59:29,Overall Results,Ironman California 2023,2894.0,20780.0,14509,39569
440,440,414,62,David Bahia,2013,M45-49,PHL,00:50:40,05:35:45,04:17:13,11:00:10,Overall Results,Ironman California 2023,3040.0,20145.0,15433,39610
441,441,415,63,Fernando Gonzalez,1780,M45-49,USA,00:43:23,05:14:15,04:46:46,11:00:34,Overall Results,Ironman California 2023,2603.0,18855.0,17206,39634
442,442,416,76,Luis Ortiz,1883,M30-34,MEX,00:43:28,05:39:08,04:22:31,11:00:39,Overall Results,Ironman California 2023,2608.0,20348.0,15751,39639
443,443,417,82,Quinn Heck,1184,M35-39,CAN,00:47:22,05:34:06,04:18:04,11:01:01,Overall Results,Ironman California 2023,2842.0,20046.0,15484,39661
444,444,27,3,Anne Luhan,2283,F45-49,USA,00:56:50,05:49:15,03:56:08,11:01:15,Overall Results,Ironman California 2023,3410.0,20955.0,14168,39675
445,445,418,77,Brenden Panis,1426,M30-34,USA,00:41:51,05:33:45,04:25:42,11:01:24,Overall Results,Ironman California 2023,2511.0,20025.0,15942,39684
446,446,419,78,Joel Hamilton,1799,M30-34,CAN,00:45:50,05:20:09,04:42:10,11:01:34,Overall Results,Ironman California 2023,2750.0,19209.0,16930,39694
447,447,28,8,Christine Gould,341,F40-44,USA,00:39:42,05:35:18,04:32:36,11:01:40,Overall Results,Ironman California 2023,2382.0,20118.0,16356,39700
448,448,420,38,Mitchell Itkin,1690,M25-29,USA,00:46:44,05:43:37,04:15:26,11:02:01,Overall Results,Ironman California 2023,2804.0,20617.0,15326,39721
449,449,421,26,Louis Mancuso,317,M55-59,USA,00:45:08,05:47:44,04:09:33,11:02:04,Overall Results,Ironman California 2023,2708.0,20864.0,14973,39724
450,450,422,79,Joshua Upegui,1733,M30-34,USA,00:42:19,05:44:26,04:17:45,11:02:17,Overall Results,Ironman California 2023,2539.0,20666.0,15465,39737
451,451,423,27,Robert Haydock,1547,M55-59,CAN,00:47:06,05:42:30,04:05:50,11:02:41,Overall Results,Ironman California 2023,2826.0,20550.0,14750,39761
452,452,424,42,Dennis Ogino,2341,M50-54,USA,00:47:58,05:36:04,04:10:59,11:02:47,Overall Results,Ironman California 2023,2878.0,20164.0,15059,39767
453,453,425,4,Adam Popp,13,M PC/ID,USA,00:47:01,05:53:27,04:06:52,11:03:06,Overall Results,Ironman California 2023,2821.0,21207.0,14812,39786
454,454,426,39,Victor Alvarez,2191,M25-29,MEX,00:43:30,05:36:01,04:26:21,11:03:17,Overall Results,Ironman California 2023,2610.0,20161.0,15981,39797
455,455,29,5,Jacqueline Hellard,1464,F35-39,USA,00:51:00,05:50:15,04:07:44,11:03:21,Overall Results,Ironman California 2023,3060.0,21015.0,14864,39801
456,456,427,70,Tim Nelson,1381,M40-44,USA,00:48:14,05:56:11,03:50:31,11:03:31,Overall Results,Ironman California 2023,2894.0,21371.0,13831,39811
457,457,428,80,Mario Castillo-Urbina,2267,M30-34,USA,00:49:44,06:18:23,03:32:09,11:03:33,Overall Results,Ironman California 2023,2984.0,22703.0,12729,39813
458,458,429,40,Tad Talbot,972,M25-29,USA,00:42:44,05:40:59,04:15:18,11:03:34,Overall Results,Ironman California 2023,2564.0,20459.0,15318,39814
459,459,430,71,Justin Uhl,940,M40-44,USA,00:45:56,05:21:28,04:42:09,11:04:15,Overall Results,Ironman California 2023,2756.0,19288.0,16929,39855
460,460,431,43,Carlos Araya Ramirez,1837,M50-54,CRI,00:51:03,05:54:27,03:58:26,11:04:46,Overall Results,Ironman California 2023,3063.0,21267.0,14306,39886
461,461,432,44,Cliff Wagner,220,M50-54,USA,00:40:04,05:33:00,04:31:38,11:04:57,Overall Results,Ironman California 2023,2404.0,19980.0,16298,39897
462,462,433,64,Eric Dreuth,305,M45-49,USA,00:47:39,05:33:22,04:25:56,11:05:04,Overall Results,Ironman California 2023,2859.0,20002.0,15956,39904
463,463,434,41,Eric Fa,1142,M25-29,USA,00:47:02,05:29:53,04:31:12,11:05:59,Overall Results,Ironman California 2023,2822.0,19793.0,16272,39959
464,464,435,65,John Ploumitsakos,324,M45-49,USA,00:44:12,05:34:57,04:32:59,11:06:03,Overall Results,Ironman California 2023,2652.0,20097.0,16379,39963
465,465,436,81,Eric Pichardo,2370,M30-34,USA,00:49:57,05:47:07,04:05:48,11:06:17,Overall Results,Ironman California 2023,2997.0,20827.0,14748,39977
466,466,437,66,Nawar Naji,1106,M45-49,CAN,00:45:23,05:33:26,04:32:44,11:06:42,Overall Results,Ironman California 2023,2723.0,20006.0,16364,40002
467,467,438,45,Jeffrey Jimenez,1392,M50-54,USA,00:47:00,05:54:08,04:09:07,11:07:00,Overall Results,Ironman California 2023,2820.0,21248.0,14947,40020
468,468,30,6,Consuelo Alcalde de la Rosa,1679,F30-34,USA,00:49:06,05:56:17,04:05:41,11:07:08,Overall Results,Ironman California 2023,2946.0,21377.0,14741,40028
469,469,439,67,Laurent Bride,1816,M45-49,USA,00:47:24,05:21:27,04:44:51,11:07:14,Overall Results,Ironman California 2023,2844.0,19287.0,17091,40034
470,470,440,42,AJ Hollis,72,M25-29,USA,00:45:48,06:00:12,04:01:28,11:07:25,Overall Results,Ironman California 2023,2748.0,21612.0,14488,40045
471,471,441,83,Ian Christie,420,M35-39,USA,00:52:20,05:23:42,04:32:02,11:07:54,Overall Results,Ironman California 2023,3140.0,19422.0,16322,40074
472,472,442,72,Robert Mello,2249,M40-44,USA,00:48:54,05:54:50,03:58:31,11:08:15,Overall Results,Ironman California 2023,2934.0,21290.0,14311,40095
473,473,443,43,Peter Boldt,1693,M25-29,USA,00:42:50,05:47:25,04:20:49,11:08:24,Overall Results,Ironman California 2023,2570.0,20845.0,15649,40104
474,474,444,11,Huy Nguyen,255,M60-64,USA,00:50:26,05:26:31,04:33:03,11:08:27,Overall Results,Ironman California 2023,3026.0,19591.0,16383,40107
475,475,445,46,Greg Pease,836,M50-54,USA,00:41:34,05:41:26,04:18:45,11:08:34,Overall Results,Ironman California 2023,2494.0,20486.0,15525,40114
476,476,446,12,Derek Watanabe,991,M60-64,USA,00:46:31,05:25:10,04:37:39,11:08:45,Overall Results,Ironman California 2023,2791.0,19510.0,16659,40125
477,477,447,73,Gareth Bowley,997,M40-44,CAN,00:43:09,05:26:27,04:38:23,11:08:55,Overall Results,Ironman California 2023,2589.0,19587.0,16703,40135
478,478,448,47,Iain Edmonds,848,M50-54,CAN,00:52:21,05:20:46,04:44:22,11:09:11,Overall Results,Ironman California 2023,3141.0,19246.0,17062,40151
479,479,449,74,Greg Hopson,1430,M40-44,CAN,00:44:04,05:34:59,04:31:44,11:09:17,Overall Results,Ironman California 2023,2644.0,20099.0,16304,40157
480,480,450,48,Sandro Barros,804,M50-54,USA,00:43:46,05:35:44,04:32:26,11:09:18,Overall Results,Ironman California 2023,2626.0,20144.0,16346,40158
481,481,451,44,Reid Gordon,2315,M25-29,USA,00:47:03,05:32:30,04:35:05,11:09:39,Overall Results,Ironman California 2023,2823.0,19950.0,16505,40179
482,482,452,75,Francisco Monterrosa,1645,M40-44,SLV,00:40:25,05:21:55,04:52:24,11:10:18,Overall Results,Ironman California 2023,2425.0,19315.0,17544,40218
483,483,453,84,Nathan Fridley,950,M35-39,USA,00:49:24,05:44:54,04:21:59,11:10:19,Overall Results,Ironman California 2023,2964.0,20694.0,15719,40219
484,484,31,9,Mary Calcote,1054,F40-44,USA,00:50:09,05:46:43,04:12:59,11:10:32,Overall Results,Ironman California 2023,3009.0,20803.0,15179,40232
485,485,454,28,Mark Slater,334,M55-59,USA,00:41:34,05:32:11,04:37:46,11:10:42,Overall Results,Ironman California 2023,2494.0,19931.0,16666,40242
486,486,455,82,Gabriel Fox,2358,M30-34,USA,00:51:59,06:08:04,03:54:12,11:11:22,Overall Results,Ironman California 2023,3119.0,22084.0,14052,40282
487,487,456,83,Matty Bienick,859,M30-34,USA,00:45:48,06:01:29,04:06:51,11:11:46,Overall Results,Ironman California 2023,2748.0,21689.0,14811,40306
488,488,457,84,Gerardo Martinez Perez,1858,M30-34,MEX,00:47:20,05:55:43,04:14:50,11:12:05,Overall Results,Ironman California 2023,2840.0,21343.0,15290,40325
489,489,458,49,Myron Hall,2160,M50-54,USA,00:44:41,05:39:11,04:31:50,11:12:14,Overall Results,Ironman California 2023,2681.0,20351.0,16310,40334
490,490,32,4,Isabelle Vachon,192,F45-49,CAN,00:47:49,05:53:55,04:08:38,11:12:32,Overall Results,Ironman California 2023,2869.0,21235.0,14918,40352
491,491,33,7,Kaitlyn Dawson,847,F30-34,USA,00:41:21,05:50:46,04:25:50,11:12:35,Overall Results,Ironman California 2023,2481.0,21046.0,15950,40355
492,492,459,85,Matthew Engler,98,M35-39,USA,00:44:04,05:45:31,04:24:14,11:12:45,Overall Results,Ironman California 2023,2644.0,20731.0,15854,40365
493,493,460,85,Ryan Kraner,1361,M30-34,USA,00:46:42,05:28:27,04:40:23,11:12:45,Overall Results,Ironman California 2023,2802.0,19707.0,16823,40365
494,494,461,86,Marcus Vander Leek,387,M35-39,CAN,00:52:01,05:34:28,04:25:52,11:12:49,Overall Results,Ironman California 2023,3121.0,20068.0,15952,40369
495,495,462,68,Marcelo Costa,244,M45-49,USA,00:46:08,05:19:12,04:48:15,11:12:50,Overall Results,Ironman California 2023,2768.0,19152.0,17295,40370
496,496,463,69,Rano Perrizo,1948,M45-49,USA,00:44:54,05:43:03,04:23:57,11:13:00,Overall Results,Ironman California 2023,2694.0,20583.0,15837,40380
497,497,464,12,Dawson Durig,2361,M18-24,USA,00:46:17,05:54:45,04:15:08,11:13:01,Overall Results,Ironman California 2023,2777.0,21285.0,15308,40381
498,498,465,76,James Drake,2296,M40-44,USA,00:42:41,05:34:20,04:34:36,11:13:03,Overall Results,Ironman California 2023,2561.0,20060.0,16476,40383
499,499,466,50,Robert Earle,2010,M50-54,USA,00:47:41,05:56:16,04:00:11,11:13:05,Overall Results,Ironman California 2023,2861.0,21376.0,14411,40385
500,500,34,6,Paola Carrijo,689,F35-39,USA,00:47:39,06:02:08,04:00:04,11:13:11,Overall Results,Ironman California 2023,2859.0,21728.0,14404,40391
501,501,467,77,Wesley Earhart,1232,M40-44,USA,00:50:00,05:45:24,04:16:28,11:13:29,Overall Results,Ironman California 2023,3000.0,20724.0,15388,40409
502,502,468,86,Matt Vaughan,1941,M30-34,USA,00:40:07,05:57:46,04:08:44,11:13:40,Overall Results,Ironman California 2023,2407.0,21466.0,14924,40420
503,503,469,29,Damian Byrne,1362,M55-59,CAN,00:43:51,05:22:17,04:53:49,11:14:06,Overall Results,Ironman California 2023,2631.0,19337.0,17629,40446
504,504,470,87,Patrick Hearst,1821,M30-34,USA,00:51:47,06:05:56,03:50:35,11:14:34,Overall Results,Ironman California 2023,3107.0,21956.0,13835,40474
505,505,471,87,Shravan Cheruku,428,M35-39,USA,00:52:52,05:41:12,04:21:17,11:14:43,Overall Results,Ironman California 2023,3172.0,20472.0,15677,40483
506,506,472,45,Andrew Crabill,1300,M25-29,USA,00:43:18,05:55:11,04:02:30,11:14:48,Overall Results,Ironman California 2023,2598.0,21311.0,14550,40488
507,507,473,13,Pablo Jullian Grohnert,153,M60-64,CHL,00:47:33,05:40:58,04:25:50,11:15:12,Overall Results,Ironman California 2023,2853.0,20458.0,15950,40512
508,508,474,88,Marco Zanzottera,1108,M35-39,ITA,00:45:53,05:49:33,04:16:58,11:15:15,Overall Results,Ironman California 2023,2753.0,20973.0,15418,40515
509,509,35,7,Mary Caitlin Fahey,453,F35-39,USA,00:38:33,05:39:17,04:38:43,11:15:38,Overall Results,Ironman California 2023,2313.0,20357.0,16723,40538
510,510,475,70,Finnian Murray,148,M45-49,USA,00:49:48,05:51:44,04:13:38,11:15:51,Overall Results,Ironman California 2023,2988.0,21104.0,15218,40551
511,511,476,71,Nadav Efraty,1276,M45-49,USA,00:49:45,05:29:47,04:30:09,11:15:58,Overall Results,Ironman California 2023,2985.0,19787.0,16209,40558
512,512,477,89,Armando Carrera,379,M35-39,USA,00:47:18,05:48:52,04:22:16,11:16:04,Overall Results,Ironman California 2023,2838.0,20932.0,15736,40564
513,513,478,30,Joe Scallion,458,M55-59,USA,00:48:02,05:10:05,05:03:21,11:16:09,Overall Results,Ironman California 2023,2882.0,18605.0,18201,40569
514,514,479,78,Jon Keithley,1703,M40-44,USA,00:42:26,06:11:52,04:00:39,11:16:14,Overall Results,Ironman California 2023,2546.0,22312.0,14439,40574
515,515,36,10,Melissa King,1158,F40-44,USA,00:49:37,05:51:23,04:13:36,11:16:27,Overall Results,Ironman California 2023,2977.0,21083.0,15216,40587
516,516,37,8,Karen Husemann,1440,F30-34,MEX,00:48:30,05:37:02,04:35:40,11:16:38,Overall Results,Ironman California 2023,2910.0,20222.0,16540,40598
517,517,480,90,Luis Guevara,374,M35-39,GTM,00:57:19,05:31:51,04:26:55,11:16:42,Overall Results,Ironman California 2023,3439.0,19911.0,16015,40602
518,518,481,72,Jeff Land,2367,M45-49,USA,00:50:35,05:57:08,04:07:45,11:16:43,Overall Results,Ironman California 2023,3035.0,21428.0,14865,40603
519,519,482,51,Brad Edmonds,1016,M50-54,USA,00:45:41,05:33:56,04:35:52,11:16:45,Overall Results,Ironman California 2023,2741.0,20036.0,16552,40605
520,520,483,91,Brett Manning,2293,M35-39,GBR,00:51:08,05:27:19,04:40:58,11:16:51,Overall Results,Ironman California 2023,3068.0,19639.0,16858,40611
521,521,484,52,Alessandro Kamikawa,2212,M50-54,BRA,00:43:16,05:27:14,04:50:38,11:16:51,Overall Results,Ironman California 2023,2596.0,19634.0,17438,40611
522,522,485,79,Isaac Moreno Chavarria,775,M40-44,MEX,00:47:48,05:47:23,04:20:41,11:17:22,Overall Results,Ironman California 2023,2868.0,20843.0,15641,40642
523,523,486,92,Eric Noeth,2344,M35-39,USA,00:51:51,06:17:46,03:48:31,11:17:31,Overall Results,Ironman California 2023,3111.0,22666.0,13711,40651
524,524,487,88,Matthew Tyner,2190,M30-34,USA,00:46:28,05:22:33,04:47:50,11:17:33,Overall Results,Ironman California 2023,2788.0,19353.0,17270,40653
525,525,488,80,Travis Reese,2355,M40-44,USA,00:53:37,05:57:40,04:06:15,11:17:48,Overall Results,Ironman California 2023,3217.0,21460.0,14775,40668
526,526,489,73,Robert Keyes,809,M45-49,USA,00:48:18,05:47:17,04:14:50,11:17:51,Overall Results,Ironman California 2023,2898.0,20837.0,15290,40671
527,527,490,89,Jose Carlos Felix Zazueta,1661,M30-34,MEX,00:49:32,05:55:40,04:00:39,11:18:00,Overall Results,Ironman California 2023,2972.0,21340.0,14439,40680
528,528,491,93,Sam Geddes,2245,M35-39,USA,00:46:23,05:39:24,04:37:00,11:18:11,Overall Results,Ironman California 2023,2783.0,20364.0,16620,40691
529,529,492,81,Ryan Dembosky,2221,M40-44,USA,00:45:00,05:26:13,04:48:10,11:18:13,Overall Results,Ironman California 2023,2700.0,19573.0,17290,40693
530,530,38,8,Yuliya Mazur,1674,F35-39,UKR,00:47:42,06:06:44,04:11:29,11:18:22,Overall Results,Ironman California 2023,2862.0,22004.0,15089,40702
531,531,493,82,Lance Moen,2233,M40-44,USA,00:45:49,05:49:09,04:19:38,11:18:43,Overall Results,Ironman California 2023,2749.0,20949.0,15578,40723
532,532,494,74,Kevin Randick,349,M45-49,USA,00:46:48,05:56:40,04:15:26,11:18:51,Overall Results,Ironman California 2023,2808.0,21400.0,15326,40731
533,533,495,90,Andy Ia,641,M30-34,USA,00:48:36,06:01:00,04:14:26,11:18:52,Overall Results,Ironman California 2023,2916.0,21660.0,15266,40732
534,534,39,9,Mafer Pinder,805,F35-39,VEN,00:47:04,05:31:55,04:35:36,11:18:56,Overall Results,Ironman California 2023,2824.0,19915.0,16536,40736
535,535,496,53,Joseph Zhang,1181,M50-54,USA,00:48:23,05:49:50,04:13:26,11:19:01,Overall Results,Ironman California 2023,2903.0,20990.0,15206,40741
536,536,497,91,Johnson Phan,730,M30-34,CAN,00:46:18,06:03:56,04:03:51,11:19:06,Overall Results,Ironman California 2023,2778.0,21836.0,14631,40746
537,537,498,94,Alexander Wang,2053,M35-39,USA,00:57:11,05:07:34,04:53:14,11:19:09,Overall Results,Ironman California 2023,3431.0,18454.0,17594,40749
538,538,499,92,Nicholas Jurden,2359,M30-34,USA,00:47:31,05:54:32,04:16:22,11:19:16,Overall Results,Ironman California 2023,2851.0,21272.0,15382,40756
539,539,500,14,William Crimbring,205,M60-64,USA,00:43:18,05:31:57,04:37:36,11:19:21,Overall Results,Ironman California 2023,2598.0,19917.0,16656,40761
540,540,501,75,Chris Yerich,97,M45-49,USA,00:40:58,05:30:14,04:48:37,11:19:33,Overall Results,Ironman California 2023,2458.0,19814.0,17317,40773
541,541,502,93,Cody Scoles,1241,M30-34,USA,00:40:12,05:32:07,04:50:08,11:19:33,Overall Results,Ironman California 2023,2412.0,19927.0,17408,40773
542,542,40,9,KJ Kroetch,206,F30-34,USA,00:37:45,05:43:06,04:49:28,11:19:40,Overall Results,Ironman California 2023,2265.0,20586.0,17368,40780
543,543,41,10,Jessica Gerholdt,1401,F30-34,USA,00:49:27,05:49:02,04:23:07,11:19:44,Overall Results,Ironman California 2023,2967.0,20942.0,15787,40784
544,544,503,83,Kyle Ford,1097,M40-44,USA,00:50:16,05:57:22,04:15:13,11:19:58,Overall Results,Ironman California 2023,3016.0,21442.0,15313,40798
545,545,504,31,Aaron Collins,943,M55-59,USA,00:47:58,05:38:33,04:39:28,11:20:00,Overall Results,Ironman California 2023,2878.0,20313.0,16768,40800
546,546,505,76,Steven Critchley,1034,M45-49,CAN,00:49:25,06:08:48,03:54:10,11:20:01,Overall Results,Ironman California 2023,2965.0,22128.0,14050,40801
547,547,506,32,Alex Hamlow,1243,M55-59,USA,00:52:18,05:32:38,04:34:29,11:20:07,Overall Results,Ironman California 2023,3138.0,19958.0,16469,40807
548,548,42,3,Isabel Beariault,1785,F18-24,USA,00:48:42,05:29:14,04:46:28,11:20:45,Overall Results,Ironman California 2023,2922.0,19754.0,17188,40845
549,549,507,84,Pavel Tkachenko,2207,M40-44,USA,00:51:24,05:34:23,04:40:45,11:20:59,Overall Results,Ironman California 2023,3084.0,20063.0,16845,40859
550,550,508,85,Dominic Sharland,684,M40-44,GBR,00:50:52,05:51:24,04:09:57,11:21:01,Overall Results,Ironman California 2023,3052.0,21084.0,14997,40861
551,551,509,86,Cody Leibel,1660,M40-44,USA,00:40:32,05:22:20,04:57:17,11:21:06,Overall Results,Ironman California 2023,2432.0,19340.0,17837,40866
552,552,510,94,Nicholas Rojes,1940,M30-34,USA,00:47:55,05:41:29,04:32:17,11:21:20,Overall Results,Ironman California 2023,2875.0,20489.0,16337,40880
553,553,43,5,Sandy Bowman,823,F45-49,USA,00:50:43,05:41:07,04:30:28,11:21:30,Overall Results,Ironman California 2023,3043.0,20467.0,16228,40890
554,554,44,11,Laura Kern,1252,F40-44,USA,00:46:21,06:21:06,03:58:33,11:21:38,Overall Results,Ironman California 2023,2781.0,22866.0,14313,40898
555,555,511,54,Tianyu Ying,708,M50-54,USA,00:48:48,05:45:45,04:27:10,11:21:41,Overall Results,Ironman California 2023,2928.0,20745.0,16030,40901
556,556,512,13,Justin Soliman,1984,M18-24,USA,00:48:19,05:39:17,04:30:10,11:21:53,Overall Results,Ironman California 2023,2899.0,20357.0,16210,40913
557,557,513,55,Troy Piper,2008,M50-54,USA,00:47:26,05:08:23,05:01:07,11:21:55,Overall Results,Ironman California 2023,2846.0,18503.0,18067,40915
558,558,514,33,Walter Batel,2269,M55-59,FRA,00:47:40,05:43:26,04:34:32,11:22:09,Overall Results,Ironman California 2023,2860.0,20606.0,16472,40929
559,559,515,56,Marcus Booster Ziemann,326,M50-54,DEU,00:46:29,05:23:45,04:55:39,11:22:11,Overall Results,Ironman California 2023,2789.0,19425.0,17739,40931
560,560,516,57,Dean Critel,2035,M50-54,USA,00:49:47,05:44:31,04:30:03,11:22:33,Overall Results,Ironman California 2023,2987.0,20671.0,16203,40953
561,561,517,87,Erik Peddle,77,M40-44,USA,00:44:54,05:18:06,05:06:55,11:22:38,Overall Results,Ironman California 2023,2694.0,19086.0,18415,40958
562,562,518,34,Jon Clark,1155,M55-59,USA,00:44:22,05:42:59,04:36:50,11:22:51,Overall Results,Ironman California 2023,2662.0,20579.0,16610,40971
563,563,519,77,Lisandro Siperman,703,M45-49,ARG,00:52:57,06:10:33,03:57:03,11:23:13,Overall Results,Ironman California 2023,3177.0,22233.0,14223,40993
564,564,520,95,Adam Conway,567,M30-34,USA,00:47:43,05:19:53,04:55:52,11:23:23,Overall Results,Ironman California 2023,2863.0,19193.0,17752,41003
565,565,521,78,Anibal Montfort,1209,M45-49,MEX,00:49:41,05:50:54,04:22:55,11:24:06,Overall Results,Ironman California 2023,2981.0,21054.0,15775,41046
566,566,522,79,Amrick Sandhu,862,M45-49,USA,00:45:29,05:45:10,04:31:14,11:24:11,Overall Results,Ironman California 2023,2729.0,20710.0,16274,41051
567,567,523,95,Scott Grubb,427,M35-39,USA,00:50:55,05:43:19,04:30:58,11:24:18,Overall Results,Ironman California 2023,3055.0,20599.0,16258,41058
568,568,524,96,Ricardo Santamarina,414,M35-39,GTM,00:48:39,05:24:47,04:50:47,11:24:30,Overall Results,Ironman California 2023,2919.0,19487.0,17447,41070
569,569,525,1,Alfredo Aguado,1893,M65-69,USA,00:47:48,05:53:26,04:25:37,11:24:48,Overall Results,Ironman California 2023,2868.0,21206.0,15937,41088
570,570,526,97,Evgenii Iavorovich,2309,M35-39,USA,00:45:32,05:49:19,04:36:28,11:24:50,Overall Results,Ironman California 2023,2732.0,20959.0,16588,41090
571,571,527,58,Alex Kline,928,M50-54,USA,00:53:23,05:28:20,04:37:51,11:24:55,Overall Results,Ironman California 2023,3203.0,19700.0,16671,41095
572,572,528,88,Jacob Shaw,423,M40-44,USA,00:48:05,05:25:03,04:53:37,11:24:58,Overall Results,Ironman California 2023,2885.0,19503.0,17617,41098
573,573,529,46,Nicholas Platais,2303,M25-29,USA,00:43:02,05:49:39,04:29:30,11:25:00,Overall Results,Ironman California 2023,2582.0,20979.0,16170,41100
574,574,530,35,Jeff Clark,1256,M55-59,USA,00:43:04,05:11:31,05:12:27,11:25:02,Overall Results,Ironman California 2023,2584.0,18691.0,18747,41102
575,575,531,89,Jayson Williams,2352,M40-44,USA,00:51:00,05:51:41,04:12:36,11:25:03,Overall Results,Ironman California 2023,3060.0,21101.0,15156,41103
576,576,532,90,Nick Gomez,1156,M40-44,USA,00:42:47,05:22:42,05:00:28,11:25:28,Overall Results,Ironman California 2023,2567.0,19362.0,18028,41128
577,577,533,96,Kyle Lindsay,1078,M30-34,CAN,00:47:20,05:27:30,04:57:14,11:25:51,Overall Results,Ironman California 2023,2840.0,19650.0,17834,41151
578,578,534,91,Eric Yeung,1344,M40-44,USA,00:51:58,05:32:28,04:46:11,11:25:56,Overall Results,Ironman California 2023,3118.0,19948.0,17171,41156
579,579,535,80,Marcin Sobczyk,1982,M45-49,USA,01:00:00,05:43:22,04:25:03,11:26:23,Overall Results,Ironman California 2023,3600.0,20602.0,15903,41183
580,580,536,92,Kendall Church,1927,M40-44,USA,00:52:47,05:38:52,04:32:06,11:26:26,Overall Results,Ironman California 2023,3167.0,20332.0,16326,41186
581,581,537,59,Jason Miller,1981,M50-54,USA,00:41:57,06:09:53,04:12:23,11:26:26,Overall Results,Ironman California 2023,2517.0,22193.0,15143,41186
582,582,538,97,Alejandro Paramo,1699,M30-34,USA,00:45:59,05:43:54,04:42:34,11:26:26,Overall Results,Ironman California 2023,2759.0,20634.0,16954,41186
583,583,539,60,Justin Foxworthy,2124,M50-54,USA,00:48:06,05:38:29,04:47:24,11:26:29,Overall Results,Ironman California 2023,2886.0,20309.0,17244,41189
584,584,540,98,Bradley Alexander,826,M35-39,USA,00:46:17,05:35:11,04:43:27,11:26:31,Overall Results,Ironman California 2023,2777.0,20111.0,17007,41191
585,585,541,61,Mauricio Davila,807,M50-54,MEX,00:55:39,05:27:54,04:37:20,11:26:41,Overall Results,Ironman California 2023,3339.0,19674.0,16640,41201
586,586,542,93,Stephen Irvine,176,M40-44,USA,00:48:59,05:36:14,04:46:16,11:26:46,Overall Results,Ironman California 2023,2939.0,20174.0,17176,41206
587,587,543,98,Justus Luttig,1715,M30-34,USA,00:45:15,06:08:42,04:10:48,11:26:47,Overall Results,Ironman California 2023,2715.0,22122.0,15048,41207
588,588,544,94,Richard Johnson,636,M40-44,USA,00:46:25,05:46:43,04:35:11,11:26:57,Overall Results,Ironman California 2023,2785.0,20803.0,16511,41217
589,589,545,95,Vladimir Juarez Davalos,992,M40-44,MEX,00:55:08,05:57:03,03:54:56,11:27:00,Overall Results,Ironman California 2023,3308.0,21423.0,14096,41220
590,590,546,62,Stone Doggett,1616,M50-54,USA,00:48:55,05:42:22,04:28:42,11:27:05,Overall Results,Ironman California 2023,2935.0,20542.0,16122,41225
591,591,45,5,Aspen Neely,338,F25-29,USA,00:46:09,05:49:44,04:39:28,11:27:16,Overall Results,Ironman California 2023,2769.0,20984.0,16768,41236
592,592,547,99,Anton Baistriuchenko,883,M35-39,USA,00:52:43,06:10:07,03:59:47,11:27:25,Overall Results,Ironman California 2023,3163.0,22207.0,14387,41245
593,593,548,99,Billy Knutsen,2003,M30-34,USA,00:49:03,06:04:52,04:05:20,11:27:42,Overall Results,Ironman California 2023,2943.0,21892.0,14720,41262
594,594,549,96,Chris Gorgoroso,2125,M40-44,USA,00:47:34,05:45:11,04:34:42,11:27:44,Overall Results,Ironman California 2023,2854.0,20711.0,16482,41264
595,595,46,6,Hannah Zhang,625,F25-29,CAN,00:43:35,06:23:27,04:05:29,11:27:50,Overall Results,Ironman California 2023,2615.0,23007.0,14729,41270
596,596,550,97,Timothy Nealon,832,M40-44,USA,00:48:35,05:29:20,04:49:05,11:27:57,Overall Results,Ironman California 2023,2915.0,19760.0,17345,41277
597,597,47,12,Lucy Lim,2335,F40-44,CAN,00:49:47,05:49:28,04:15:36,11:28:04,Overall Results,Ironman California 2023,2987.0,20968.0,15336,41284
